,company_name,experience,location,skills,posted_at
80,Armaco Chemical Processes Systems Pvt Ltd,5 - 7 yrs,Jeddah,"algorithms  ,  css  ,  artificial intelligence  ,  sql  ,  database  ,  html  ,  api  ,  c#  ,  python  ,  machine learning  ,  javascript  ,  infrastructure",Posted few days ago
81,Nielsen Research Ltd. Co.,2 - 3 yrs,Bengaluru / Bangalore,"git  ,  cloud computing  ,  python  ,  machine learning  ,  written communication  ,  production environment",Posted few days ago
82,ai enterprise,5 - 8 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  apache",Posted few days ago
83,DIASPARK INC,8 - 11 yrs,,"hive  ,  python  ,  problem solving  ,  machine learning  ,  sql  ,  hadoop",Posted few days ago
84,verolt engineering private limited,2 - 3 yrs,Pune,"python  ,  cloud services  ,  team player  ,  sql  ,  docker  ,  git",Posted few days ago
85,the modern dimension,2 - 5 yrs,"Delhi,  Delhi/NCR,  Bengaluru / Bangalore","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering",Posted few days ago
86,claim genius inc,7 - 8 yrs,Nagpur,"fundamentals  ,  algorithms  ,  software engineer  ,  software engineering  ,  data structures  ,  big data  ,  python  ,  algorithm development  ,  machine learning  ,  infrastructure",Posted few days ago
87,nielsensports,2 - 3 yrs,,"dashboards  ,  sql  ,  database  ,  data science  ,  data scientist  ,  data visualization  ,  data analyst  ,  tableau",Posted few days ago
88,True Influence,2 - 3 yrs,New York City,"algorithms  ,  hadoop  ,  big data  ,  python  ,  natural language processing  ,  machine learning",Posted 2 days ago
89,ion trading india pvt. ltd.,2 - 3 yrs,,"bi  ,  big data  ,  python  ,  information retrieval  ,  problem solving  ,  team player  ,  machine learning",Posted few days ago
90,jupitice justice technologies pvt. ltd.,7 - 8 yrs,Chandigarh,"image processing  ,  algorithms  ,  python  ,  natural language processing  ,  ece  ,  machine learning  ,  git",Posted few days ago
91,axmiyan hr solutions private limited,5 - 8 yrs,Gurgaon,"reports  ,  data mining  ,  database design  ,  database  ,  procedures",Posted few days ago
